DIRECTORIO;SECUENCIA_P;ORDEN;ESTRATEGIAS;EST_RADIO;EST_TELEVISION;EST_PLATAFORMAS;EST_GUIAS;EST_VISITA;EST_LLAMADA;ESCUCHA_RADIO;P1077S7;P1077S8;P1075;P1077S21;P1077S22;P1077S23;CELULAR_INTELIGENTE;P5305;CELULAR
7247910;1;6;2; ; ; ; ; ; ;2;2;1;1;2;2;2;1;2;1
7247912;1;3;1;2;2;1;1;1;1;2;1;2;1;2;2;2;1;2;1
7247913;1;3;2; ; ; ; ; ; ;2;2;1;1;2;2;2;1;2;1
7247917;1;3;1;2;2;1;1;2;2;2;2;1;2;2;2;1;1;2;1
7247917;1;4;1;2;2;2;1;2;2;2;2;1;2;2;2;1;1;2;1
7247918;1;3;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7247919;1;5;1;2;2;1;1;1;1;2;2;1;1;1;1;2;1;2;1
7247919;1;6;1;2;2;2;1;1;1;2;2;1;1;1;1;2;1;2;1
7247921;1;4;2; ; ; ; ; ; ;2;2;1;2;2;2;2;1;2;1
7247922;1;2;2; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2
7247924;1;3;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247924;1;4;1;2;2;1;1;1;1;2;1;2;2;2;2;2;1;2;1
7247925;1;3;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7247925;1;4;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7247925;1;5;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7247926;1;4;1;2;2;2;1;2;2;1;2;1;2;2;1;2;1;2;1
7247931;1;3;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7247933;1;3;2; ; ; ; ; ; ;2;1;2;2;2;2;2;2;2;1
7247934;1;4;1;2;2;1;1;2;2;1;1;2;2;2;2;2;1;2;1
7247936;1;4;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1
7247936;1;5;2; ; ; ; ; ; ;2;1;2;2;2;2;2;2;2;1
7247938;1;3;2; ; ; ; ; ; ;2;1;1;2;2;2;2;2;2;1
7247940;1;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1
7247943;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1
7247950;1;3;1;2;2;1;1;2;2;2;1;1;2;2;2;2;2;2;2
